Fri Sep 24 2021 06:22:39 GMT-0400 (Eastern Daylight Time) - Run Time: 639ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of vehicles in household - n_vehicle


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_vehicle
  gta06_hhld   n_vehicle      total
        5056           2        411
        5056           3        122
        5056           4         32
        5057           0         20
        5057           1        710
        5057           2        482
        5057           3        156
        5057           4         63
        5058           0        187
        5058           1        810
        5058           2        314
        5058           3         50
        5058           4         48
        5059           0         61
        5059           1        457
        5059           2       1119
        5059           3        377
        5059           4        130
        5060           1        326
        5060           2        454
        5060           3         51
        5061           1        294
        5061           2        683
        5061           3        113
        5061           4         55
        5061           5         22
        5063           0          7
        5063           1        416
        5063           2        343
        5063           3        298
        5065           0         12
        5065           1        351
        5065           2        782
        5065           3         83
        5066           0        100
        5066           1        444
        5066           2       1070
        5066           3        263
        5066           4        103
        5067           0         14
        5067           1        256
        5067           2        280
        5067           3        103
        5067           4        127
        5068           0        156
        5068           1        819
        5068           2        684
        5068           3        213
        5068           4        109
        5069           0        141
        5069           1        751
        5069           2        322
        5069           3        248
        5069           4         81
        5071           1        104
        5071           2        435
        5071           3         91
        5071           4        231
        5071           5         32
        5072           1         61
        5072           2        148
        5072           3        116
        5073           1        560
        5073           2        974
        5073           3        271
        5073           4        108
        5073           5         97
        5074           0        202
        5074           1        886
        5074           2        168
        5074           3        135
        5075           0         75
        5075           1        122
        5075           2        615
        5075           3        222
        5076           1        298
        5076           2        377
        5076           3        124
        5076           4         51
        5077           2        104
        5077           3         53
        5078           1        139
        5078           2        366
        5078           3         65
        5079           0         72
        5079           1        195
        5079           2        277
        5079           3         35
        5080           0         28
        5080           1        143
        5080           2        124
        5080           3         21
        5081           0         15
        5081           1        156
        5081           2        218
        5081           3         82
        5081           4         17
        5082           0        256
        5082           1        803
        5082           2        782
        5082           3        153
        5084           1        415
        5084           2       1133
        5084           3        193
        5084           4         57
        5086           1        463
        5086           2        579
        5086           3        184
        5086           5         37
        5087           0        102
        5087           1         63
        5087           2         56
        5088           1         91
        5088           2        135
        5089           0        155
        5089           1        703
        5089           2        558
        5089           3         33
        5089           4         66
        5090           1        293
        5090           2        317
        5090           3         45
        5090           4         75
        5090           6         68
        5091           0        116
        5091           1        419
        5091           2        324
        5091           3        133
        5092           0        222
        5092           1        685
        5092           2        404
        5092           3         24
        5092           4        137
        5092           6         33
        5093           0         60
        5093           1        503
        5093           2        211
        5093           3        140
        5094           0         86
        5094           1        687
        5094           2       1087
        5094           3        356
        5094           4        238
        5095           0        431
        5095           1        802
        5095           2        375
        5095           3         84
        5095           4         47
        5096           0         19
        5096           1        516
        5096           2        605
        5096           3        183
        5097           0        201
        5097           1        496
        5097           2        204
        5098           0        123
        5098           1        426
        5098           2        592
        5098           3        406
        5098           4         24
        5098           5         29
        5099           0        221
        5099           1        694
        5099           2        341
        5099           3        190
        5099           5         22
        5100           1        454
        5100           2        851
        5100           3        255
        5100           4         74
        5101           0         25
        5101           1        241
        5101           2        463
        5101           3         29
        5102           0         56
        5102           1        453
        5102           2        221
        5102           3         27
        5102           4         52
        5103           1         70
        5103           2         97
        5103           3         49
        5103           4         25
        5104           0        343
        5104           1        921
        5104           2        541
        5104           3        120
        5104           4         12
        5105           1        118
        5105           2        565
        5105           3        223
        5106           0        110
        5106           1        320
        5106           2        378
        5106           3        186
        5106           5         25
        5107           0         93
        5107           1        458
        5107           2         91
        5109           1        106
        5109           2        587
        5109           3        118
        5109           4         96
        5110           0        329
        5110           1        572
        5110           2        257
        5110           3        161
        5110           4        223
        5111           0        265
        5111           1       1008
        5111           2        362
        5111           3        184
        5113           0        117
        5113           1        174
        5113           2        406
        5113           3        246
        5113           4         33
        5114           0         16
        5114           1        408
        5114           2        242
        5114           3         92
        5114           4         47
        5114           6         35
        5115           0        195
        5115           1        437
        5115           2        582
        5115           3         51
        5115           6         74
        5116           0        136
        5116           1        366
        5116           2        277
        5116           3        231
        5117           0         52
        5117           1        163
        5117           2        184
        5117           4         89
        5118           0        194
        5118           1        708
        5118           2        511
        5118           3        176
        5118           4         74
        5118           5         34
        5119           1         66
        5120           0        127
        5120           1        424
        5120           2        405
        5120           5         37
        5120           7         92
        5121           0         21
        5121           1        542
        5121           2        450
        5121           3         95
        5122           0         64
        5122           1        463
        5122           2        596
        5122           3         37
        5122           4         97
        5123           0        550
        5123           1       1938
        5123           2        379
        5123           3        152
        5125           0        102
        5125           1        269
        5125           2         26
        5126           0         27
        5126           2        232
        5127           0        355
        5127           1       1009
        5127           2        482
        5127           3        181
        5127           4         85
        5129           0        130
        5129           1        304
        5129           2        252
        5129           3        157
        5130           0        260
        5130           1       1260
        5130           2        501
        5130           3         65
        5130           5         71
        5131           0        553
        5131           1        493
        5131           2        343
        5131           3         43
        5132           0         53
        5132           1        525
        5132           2        623
        5132           3         35
        5132           4         35
        5133           0         41
        5133           1        502
        5133           2        375
        5133           3        276
        5133           4         80
        5135           0        208
        5135           1       1225
        5135           2        758
        5135           3         20
        5135           5         21
        5135           6         37
        5137           1         44
        5137           2        323
        5137           3        134
        5137           4         42
        5137           5         33
        5138           0          8
        5138           1         39
        5138           2         84
        5138           4         21
        5139           0        304
        5139           1       1280
        5139           2        947
        5139           3        104
        5140           0         30
        5140           1        338
