Fri Sep 24 2021 06:19:05 GMT-0400 (Eastern Daylight Time) - Run Time: 673ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of drivers in household - n_licence


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_licence
  gta06_hhld   n_licence      total
        5096          99         22
        5097           0        201
        5097           1        282
        5097           2        325
        5097           3         93
        5098           0        123
        5098           1        234
        5098           2        831
        5098           3        112
        5098           4        299
        5099           0        221
        5099           1        799
        5099           2        282
        5099           3         37
        5099           4        130
        5100           1        345
        5100           2        946
        5100           3        233
        5100           4         72
        5100          99         39
        5101           0          7
        5101           1        241
        5101           2        309
        5101           3        183
        5101          99         18
        5102           0         33
        5102           1        381
        5102           2        368
        5102           3         27
        5103           1         70
        5103           2        171
        5104           0        310
        5104           1        820
        5104           2        579
        5104           3        120
        5104           4         71
        5104          99         36
        5105           1        119
        5105           2        607
        5105           3        181
        5106           0         94
        5106           1        232
        5106           2        463
        5106           3         81
        5106           4         54
        5106          99         95
        5107           0         93
        5107           1        371
        5107           2        178
        5109           1        123
        5109           2        493
        5109           3        175
        5109           4         48
        5109           5         40
        5109          99         28
        5110           0        308
        5110           1        477
        5110           2        291
        5110           3        224
        5110           4         29
        5110           5        194
        5110          99         20
        5111           0        137
        5111           1        970
        5111           2        456
        5111           3        116
        5111           4         46
        5111          99         94
        5113           0        117
        5113           1        157
        5113           2        475
        5113           3        109
        5113           4         62
        5113          99         56
        5114           0         16
        5114           1        328
        5114           2        395
        5114           3         20
        5114           4         79
        5115           0        159
        5115           1        310
        5115           2        633
        5115           3         97
        5115           4         74
        5115          99         66
        5116           0         88
        5116           1        313
        5116           2        409
        5116           3        152
        5116           4         50
        5117           0         52
        5117           1        226
        5117           2         84
        5117           3        125
        5118           0         33
        5118           1        739
        5118           2        583
        5118           3        121
        5118           4        129
        5118           5         57
        5118          99         35
        5119           1         66
        5120           0         86
        5120           1        388
        5120           2        477
        5120           3        133
        5121           0         36
        5121           1        378
        5121           2        506
        5121           3        189
        5122           0         64
        5122           1        400
        5122           2        596
        5122           3        148
        5122           4         49
        5123           0        296
        5123           1       1517
        5123           2        624
        5123           3        486
        5123          99         96
        5125           0         40
        5125           1        310
        5125           2         47
        5126           0         27
        5126           2         35
        5126           3        126
        5126          99         72
        5127           0        312
        5127           1        832
        5127           2        648
        5127           3        198
        5127           5         85
        5127          99         37
        5129           0        130
        5129           1        207
        5129           2        191
        5129           3        112
        5129           4        202
        5130           0        113
        5130           1       1053
        5130           2        750
        5130           3        159
        5130           4         34
        5130          99         46
        5131           0        443
        5131           1        379
        5131           2        567
        5131           4         43
        5132           0         53
        5132           1        260
        5132           2        751
        5132           3        155
        5132           4         35
        5132          99         16
        5133           0         41
        5133           1        390
        5133           2        321
        5133           3        276
        5133           4        158
        5133           5         88
        5135           0        114
        5135           1       1037
        5135           2        868
        5135           3        206
        5135          99         44
        5137           1         21
        5137           2        380
        5137           4        175
        5138           0          8
        5138           1         39
        5138           2         58
        5138          99         47
        5139           0        215
        5139           1       1038
        5139           2        905
        5139           3        427
        5139          99         52
        5140           0         30
        5140           1        187
        5140           2        873
        5140           3         87
        5140          99         50
        5141           0         25
        5141           1        210
        5141           2        546
        5141           3         59
        5142           2         67
        5143           0         26
        5143           1        475
        5143           2        808
        5143           3         49
        5143           4         62
