Fri Sep 24 2021 06:05:25 GMT-0400 (Eastern Daylight Time) - Run Time: 2402ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 5, 11, 

Trip 2016
ROW : gta06_orig
COLUMN : mode_prime
  gta06_orig  mode_prime      total
        2238           D         75
        2238           P         57
        2241           D         43
        2243           D         40
        2244           D         69
        2246           B         32
        2251           D          4
        2253           D        161
        2254           D         31
        2257           D         13
        2259           D         10
        2269           D         26
        2270           D        136
        2271           D        174
        2355           D         54
        2355           P         43
        2356           P         51
        2357           D         16
        2362           D         19
        2364           D         32
        2367           D         19
        2369           D        101
        2369           P         47
        2370           D        231
        2371           D         24
        2372           D         29
        2373           D        129
        2374           D        135
        2375           D         81
        2377           D         40
        2378           D         32
        2385           D         13
        2387           D         42
        2388           D         36
        2389           D         15
        2390           D         81
        2391           D         32
        2393           D         36
        2394           D        193
        2395           D         78
        2396           D         58
        2398           D         81
        2398           P         66
        2399           D         33
        2399           P         66
        2400           D         60
        2401           D         58
        2403           D         18
        2405           D         19
        2409           D         13
        2413           P          7
        2421           P         18
        2430           D         14
        2430           P         14
        2433           D         18
        2433           P         18
        2442           D         14
        2442           P         14
        2444           D         43
        2451           D         17
        2452           D         15
        2454           D         61
        2454           P         38
        2460           D         16
        2551           M         13
        2554           D         11
        2554           P         11
        2558           D        101
        2562           D        106
        2563           D         25
        2609           D         17
        2616           D         23
        2617           D         79
        2619           D         22
        2620           D        101
        2621           D          6
        2623           D         54
        2624           D         92
        2666           D         12
        2667           B         97
        2667           D         34
        2701           D         46
        2704           D          4
        2708           D         34
        2708           P         14
        2712           D         11
        2717           D         14
        2717           P         14
        2755           D         28
        2763           D         38
        2868           D         45
        3001           D         31
        3004           D         70
        3006           D         90
        3006           P         45
        3009           D         36
        3009           P         36
        3014           D         58
        3014           P         16
        3015           D        162
        3015           P         82
        3016           D         72
        3101           D         13
        3101           P         13
        3102           B         18
        3102           D         65
        3103           D         13
        3105           D         12
        3105           P         12
        3146           D         60
        3146           P          3
        3151           D         32
        3151           P         19
        3152           D         75
        3153           D          9
        3153           P          9
        3188           D         60
        3189           D          7
        3190           D         62
        3191           D        381
        3192           D        188
        3192           P         12
        3193           D         42
        3194           D        113
        3195           D         40
        3196           D        193
        3197           D        269
        3197           P         49
        3199           D         18
        3323           D         50
        3324           D        175
        3324           P         23
        3325           B         17
        3325           D       1134
        3325           G         28
        3325           P         36
        3326           D         74
        3327           D        393
        3327           O         36
        3328           D        428
        3328           P         17
        3330           B         20
        3330           D        357
        3331           D        415
        3331           P        100
        3332           D        389
        3333           D        289
        3335           D        154
        3335           P         32
        3336           D         22
        3337           D         84
        3338           D        152
        3339           D         86
        3340           D        619
        3340           P         46
        3341           B         11
        3341           D        306
        3342           D        146
        3343           D        516
        3343           O         23
        3345           D         69
        3346           D        157
        3346           P         83
        3347           D         14
        3348           D        144
        3348           P         97
        3349           D          7
        3350           D         45
        3351           D        293
        3351           P         17
        3352           D         56
        3352           P         58
        3353           D         14
        3353           P         14
        3355           D        198
        3355           P         31
        3356           D        124
        3356           P         28
        3357           D        575
        3357           P         30
        3359           D         52
        3360           D        166
        3360           S          9
        3361           D         24
        3363           D        134
        3364           D         89
        3364           T          7
        3365           D        177
        3365           M         10
        3366           D         23
        3367           D        246
        3368           D        138
        3368           P         30
        3369           D         10
        3369           P         10
        3370           D         57
        3370           P         56
        3372           D         80
        3373           D         60
        3373           P         30
        3374           D         67
        3375           D        210
        3376           D         79
        3377           D         27
        3377           P          9
        3378           D        145
        3380           D         60
        3381           D        132
        3381           P         49
        3383           D        187
        3383           P         20
        3385           D         44
        3386           D         66
        3386           P         17
