Fri Sep 24 2021 06:21:48 GMT-0400 (Eastern Daylight Time) - Run Time: 603ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of P/T workers in household - n_emp_pt


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_emp_pt
  gta06_hhld    n_emp_pt      total
        5196           0        595
        5196           1        206
        5196           2         36
        5197           0         70
        5197           1         15
        5198           0        131
        5198           1         72
        5198           2         19
        5199           0        578
        5199           1        400
        5200           0       1415
        5200           1        238
        5200           2         40
        5201           0        245
        5201           1         86
        5202           0        900
        5202           1        393
        5203           0        969
        5203           1        251
        5203           2         30
        5204           0        266
        5204           1        153
        5204           2        100
        5205           0       1720
        5205           1        230
        5205           2         34
        5206           0        646
        5206           1         43
        5207           0       1695
        5207           1        261
        5207           2         44
        5208           0       1635
        5208           1        748
        5210           0        116
        5210           1         96
        5212           0        678
        5212           1        180
        5213           0         30
        5214           0         62
        5214           1         36
        5215           0        153
        5215           1         23
        5216           0        941
        5216           1        302
        5216           2         71
        5219           0        799
        5219           1        111
        5219           2         13
        5223           0        593
        5223           1         67
        5224           0        618
        5224           1        110
        5225           0        375
        5226           0        797
        5226           1        243
        5226           2        132
        5227           0        107
        5227           1         73
        5228           0         84
        5229           0        987
        5229           1        255
        5230           0        943
        5230           1        447
        5231           0        788
        5231           1        240
        5231           2         39
        5232           0       1648
        5232           1        488
        5232           2         15
        5232           3         80
        5233           0        555
        5233           1        164
        5233           2         50
        5234           0        172
        5234           1         33
        5235           0        134
        5235           1         48
        5236           0        139
        5236           1        270
        5236           3         77
        5237           0       1232
        5237           1        137
        5237           2         13
        5238           0        975
        5238           1        236
        5238           2         18
        5239           0       1518
        5239           1        156
        5239           2         43
        5240           0        407
        5240           1         50
        5241           0       2253
        5241           1        822
        5241           2         89
        5242           0        121
        5242           1         63
        5242           3        134
        5243           0         78
        5244           0        737
        5244           1        257
        5245           0        312
        5245           1         44
        5246           0        389
        5246           1        282
        5247           0        473
        5247           1         29
        5247           2         30
        5248           0        770
        5248           1        207
        5248           2         66
        5249           0        157
        5249           1         38
        5250           0         31
        5250           1        142
        5250           2         84
        5251           0         32
        5252           0        423
        5252           1        121
        5252           2         96
        6001           0        190
        6001           1        110
        6004           0       1451
        6004           1        349
        6004           2         16
        6005           0        385
        6005           1         65
        6005           2         23
        6006           0        262
        6006           1         70
        6006           2         25
        6007           0        413
        6007           1         97
        6007           2         36
        6008           0        488
        6008           1         55
        6009           0        107
        6010           0        143
        6012           0        721
        6012           1        214
        6012           2         92
        6014           0        358
        6014           1         46
        6015           0        701
        6015           1        358
        6015           2         18
        6016           0        766
        6016           1        177
        6016           2         62
        6017           0        309
        6018           0        615
        6018           1        201
        6018           2         14
        6019           0        585
        6019           1        153
        6019           2         52
        6020           0        629
        6020           1         55
        6021           0         10
        6022           0        185
        6022           1         70
        6022           2         33
        6023           0       1669
        6023           1        640
        6023           2         82
        6024           0         85
        6024           1         12
        6024           2         10
        6025           0        269
        6025           1         48
        6026           0       1133
        6026           1        266
        6026           2         35
        6027           0        666
        6027           1        180
        6027           2         82
        6027           3         36
        6028           0        138
        6028           1         18
        6029           0        495
        6029           1         73
        6029           2         39
        6030           0        221
        6030           1         15
        6030           2         29
        6031           0         84
        6031           1         89
        6031           2         13
        6032           0       1657
        6032           1        316
        6032           2         11
        6032           3         88
        6033           0        138
        6033           1         31
        6033           2         31
        6034           0        356
        6034           1        198
        6035           0        325
        6035           1         29
        6036           0        229
        6036           1         23
        6037           0         32
        6038           0        476
        6038           1        103
        6038           2         58
        6039           0       1403
        6039           1        266
        6039           2         43
        6040           0        207
        6040           1         86
        6041           0        235
        6041           1         51
        6041           2         75
        6042           0        272
        6042           1         75
        6042           2         44
        6043           0        202
        6043           1         18
        6044           0       2102
        6044           1        396
        6044           2         98
        6045           0        175
        6045           1        104
        6046           0        224
        6046           1         66
        6047           0       1059
        6047           1        211
        6047           2         34
        6048           0        437
        6048           1         86
        6049           0         26
        6050           0        564
        6050           1        164
        6051           0        259
        6051           1         34
        6052           0        203
        6052           1         86
        6052           2        150
        6053           0        246
        6053           1         89
        6054           0        391
        6054           1         88
        6055           0        466
        6055           1         50
        6055           2         50
        6056           0        615
        6056           1        247
        6057           0        525
        6057           1        139
        6058           0        389
        6058           1        131
        6058           3         15
        6059           0        506
        6059           1        120
        6059           2         29
        6060           0        285
        6060           1         39
        6061           0        527
        6061           1        215
        6061           3         30
        6062           0        643
        6062           1        239
        6062           2        124
        6063           0        368
        6063           1        145
        6063           2         15
        6064           0       1261
        6064           1        301
        6064           2        117
        6064           3         34
        6065           0        181
        6065           1         99
        6066           0        690
        6066           1        172
        6066           2         12
        6067           0        480
        6067           1        104
        6067           2         75
        6067           3         31
        6068           0        776
        6068           1         96
        6069           0        336
        6069           1         83
        6070           0         33
        6071           0       1448
        6071           1        401
        6071           2        100
        6071           3         35
        6072           0        445
        6072           1         85
        6073           0         84
        6074           0       1490
        6074           1        276
