Fri Sep 24 2021 06:21:03 GMT-0400 (Eastern Daylight Time) - Run Time: 659ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of persons in household - n_person


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_person
  gta06_hhld    n_person      total
        5082           1        371
        5082           2        857
        5082           3        385
        5082           4        283
        5082           5         98
        5084           1         99
        5084           2        327
        5084           3        756
        5084           4        317
        5084           5        278
        5084           6         22
        5086           1        322
        5086           2        303
        5086           3        320
        5086           4        226
        5086           5         92
        5087           1         45
        5087           2        119
        5087           3         56
        5088           1         71
        5088           2         43
        5088           3         42
        5088           4         31
        5088           5         38
        5089           1        593
        5089           2        417
        5089           3        197
        5089           4        159
        5089           5         66
        5089           6         83
        5090           1        115
        5090           2        398
        5090           3         74
        5090           4         68
        5090           5         75
        5090          10         68
        5091           1        149
        5091           2        448
        5091           3        181
        5091           4        123
        5091           5         90
        5092           1        404
        5092           2        539
        5092           3        209
        5092           4        216
        5092           6        137
        5093           1        284
        5093           2        326
        5093           3        104
        5093           4        162
        5093           5         38
        5094           1        551
        5094           2        869
        5094           3        475
        5094           4        257
        5094           5        193
        5094           6        107
        5095           1        745
        5095           2        445
        5095           3        160
        5095           4        173
        5095           5        216
        5096           1        169
        5096           2        549
        5096           3        285
        5096           4        238
        5096           5         41
        5096           6         43
        5097           1        426
        5097           2        242
        5097           3         93
        5097           4        140
        5098           1        157
        5098           2        464
        5098           3        371
        5098           4        380
        5098           5        198
        5098           6         30
        5099           1        765
        5099           2        484
        5099           3         53
        5099           4        109
        5099           5         57
        5100           1        242
        5100           2        645
        5100           3        333
        5100           4        382
        5100           5         31
        5101           1        193
        5101           2        251
        5101           3        197
        5101           4        117
        5102           1        345
        5102           2        293
        5102           3         75
        5102           4         44
        5102           5         52
        5103           1         59
        5103           2         85
        5103           4         12
        5103           5         85
        5104           1        593
        5104           2        808
        5104           3        286
        5104           4         72
        5104           6        107
        5104           7         71
        5105           1        119
        5105           2        287
        5105           3        280
        5105           4        162
        5105           6         59
        5106           1        177
        5106           2        332
        5106           3        261
        5106           4        219
        5106           5         29
        5107           1        309
        5107           2        297
        5107           3         37
        5109           1         63
        5109           2        343
        5109           3        207
        5109           4        254
        5109           5         40
        5110           1        687
        5110           2        281
        5110           3        352
        5110           4         29
        5110           6        194
        5111           1        770
        5111           2        707
        5111           3        224
        5111           4        119
        5113           1        142
        5113           2        285
        5113           3         96
        5113           4        204
        5113           5        140
        5113           6        109
        5114           1        248
        5114           2        367
        5114           3         70
        5114           4        154
        5115           1        375
        5115           2        501
        5115           3        206
        5115           4        204
        5115           5         52
        5116           1        252
        5116           2        165
        5116           3        452
        5116           4        141
        5117           1        278
        5117           2         43
        5117           3         78
        5117           5         89
        5118           1        558
        5118           2        371
        5118           3        456
        5118           4        150
        5118           5        161
        5119           1         66
        5120           1        333
        5120           2        385
        5120           3        164
        5120           4        203
        5121           1        334
        5121           2        197
        5121           3        106
        5121           4        168
        5121           6        303
        5122           1        278
        5122           2        485
        5122           3        271
        5122           4        139
        5122           7         84
        5123           1        977
        5123           2       1055
        5123           3        276
        5123           4        457
        5123           5        118
        5123           7        136
        5125           1        284
        5125           2         86
        5125           4         26
        5126           1         27
        5126           3         64
        5126           4         97
        5126           7         72
        5127           1        803
        5127           2        817
        5127           3        243
        5127           4        164
        5127           5         85
        5129           1        337
        5129           2         66
        5129           3        158
        5129           4        280
        5130           1        891
        5130           2        861
        5130           3        258
        5130           4        147
        5131           1        795
        5131           2        242
        5131           3        155
        5131           4         34
        5131           5        206
