Fri Sep 24 2021 06:18:16 GMT-0400 (Eastern Daylight Time) - Run Time: 797ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : income
  gta06_hhld      income      total
        4157           3         21
        4157           4          8
        4157           5         14
        4157           6        145
        4157           7         19
        4158           2         51
        4158           3        133
        4158           4        178
        4158           5        361
        4158           6        470
        4158           7        312
        4159           1         28
        4159           2        282
        4159           3        114
        4159           4        245
        4159           5        147
        4159           6        178
        4159           7        189
        4160           2        180
        4160           3        194
        4160           4        455
        4160           5        283
        4160           6       1112
        4160           7        671
        4161           4         18
        4161           5         87
        4161           6         79
        4161           7         13
        4162           1         38
        4162           2        196
        4162           3        180
        4162           4        382
        4162           5        200
        4162           6        402
        4162           7        230
        4163           1         73
        4163           2        210
        4163           3        191
        4163           4        453
        4163           5        111
        4163           6        532
        4163           7        369
        4164           1          8
        4164           2        256
        4164           3        296
        4164           4        337
        4164           5        243
        4164           6        422
        4164           7        240
        4165           4         44
        4165           5         81
        4165           6          6
        4166           1         30
        4166           2        135
        4166           3        162
        4166           4        272
        4166           5        161
        4166           6        509
        4166           7        281
        4167           2         12
        4167           3         22
        4167           4         39
        4167           5         59
        4167           6        121
        4167           7          6
        4168           1          8
        4168           2          8
        4168           3         11
        4168           4         63
        4168           5         20
        4168           6         29
        4169           2          4
        4169           3         20
        4169           4         47
        4169           5          9
        4169           6         67
        4169           7         25
        4170           2         12
        4170           3         46
        4170           4         47
        4170           5         92
        4170           6         74
        4170           7         99
        4171           1          5
        4171           2         17
        4171           3         23
        4171           6          6
        4172           2         14
        4172           3         26
        4172           4         12
        4172           5          6
        4172           6        156
        4172           7         32
        4173           2         23
        4173           3         14
        4173           4         25
        4173           5         59
        4173           6         67
        4173           7        120
        4174           1          5
        4174           2          8
        4174           3         25
        4174           4        120
        4174           5         21
        4174           6        142
        4174           7         24
        4175           2        106
        4175           3         21
        4175           4        113
        4175           5        130
        4175           6        113
        4175           7        133
        4176           2         29
        4176           3         96
        4176           4        209
        4176           5         77
        4176           6        283
        4176           7         70
        4177           2        102
        4177           3         93
        4177           4         82
        4177           5         65
        4177           6         67
        4177           7         90
        4178           1         32
        4178           2         40
        4178           3         18
        4178           4        117
        4178           5        145
        4178           6        230
        4178           7        172
        4179           2          9
        4179           4         12
        4179           5         10
        4179           6         50
        4179           7          8
        4183           1         93
        4183           2         54
        4183           3        293
        4183           4        208
        4183           5        341
        4183           6       1207
        4183           7        452
        4184           3         17
        4184           4         25
        4186           1         44
        4186           2        377
        4186           3        438
        4186           4       1006
        4186           5        701
        4186           6       1647
        4186           7        969
        4188           4         26
        4189           1         50
        4189           2        125
        4189           3        317
        4189           4        542
        4189           5        421
        4189           6       1192
        4189           7        684
        4190           1         56
        4190           2        161
        4190           3        304
        4190           4        621
        4190           5        134
        4190           6        389
        4190           7        250
        4191           2          5
        4191           3          5
        4191           4         25
        4191           5         33
        4191           6        269
        4191           7         62
        4193           2         82
        4193           3         26
        4193           4         64
        4193           7         62
        4195           2         10
        4195           3         36
        4195           4        147
        4195           5         41
        4195           6        408
        4195           7        153
        4196           1         57
        4196           2         44
        4196           3        372
        4196           4        238
        4196           5         95
        4196           6         42
        4196           7        298
        4197           2         97
        4197           3         23
        4197           4         34
        4197           6         24
        4197           7         41
        5001           2         13
        5001           4         58
        5001           5         49
        5001           7        106
        5002           2        181
        5002           3        203
        5002           4         42
        5002           5         82
        5002           6        110
        5002           7        165
        5003           2         53
        5003           4         67
        5003           5         13
        5003           7         39
        5004           4         78
        5004           5        135
        5004           6         74
        5004           7        133
        5005           2        100
        5005           3        292
        5005           4        305
        5005           5        233
        5005           6        568
        5005           7         88
        5006           7         13
        5007           2         73
        5007           3        134
        5007           4         32
        5007           5        147
        5007           6        174
        5007           7         59
        5008           2         34
        5008           3         48
        5008           4         19
        5008           5         90
        5009           3         97
        5009           4        314
        5009           5        311
        5009           6        160
        5009           7        221
        5010           1          8
        5011           2         20
        5011           6         15
        5011           7         82
        5012           3         55
        5012           4         35
        5012           5         20
        5012           6         71
        5012           7         94
        5014           3         48
        5014           5         18
        5016           2         73
        5016           3        107
        5016           4         40
        5016           6         58
        5018           6         67
        5018           7         71
        5020           2         28
        5020           4         93
        5020           5        114
        5020           6        128
        5020           7        173
        5026           4         21
        5028           3         72
        5028           7         20
        5030           1         24
        5030           2         37
        5030           4        105
        5030           5         65
        5030           6         35
        5030           7         82
        5032           1         85
        5032           2        302
        5032           3        184
        5032           4        205
        5032           5        264
        5032           6        509
        5032           7        683
        5033           2         39
        5033           5         70
        5033           6        141
        5033           7         75
        5035           2         21
        5036           3         64
        5036           4          6
        5036           5        148
        5036           6        216
        5036           7        158
        5037           3          7
        5037           6         84
        5037           7         46
        5038           4         17
        5038           7         13
        5039           4          7
        5040           2         34
        5040           3         26
        5040           6         43
        5040           7         14
        5041           1        114
        5041           2        290
        5041           3        397
        5041           4        451
        5041           5        312
        5041           6        302
        5041           7        379
        5044           2         71
        5044           4        319
        5044           5         89
        5044           6        193
        5044           7         67
        5045           1         24
        5045           2        193
        5045           3         79
        5045           4        224
        5045           5        170
        5045           6        206
        5045           7        118
        5046           2        184
        5046           3        348
        5046           4        447
        5046           5        462
        5046           6        309
        5046           7        281
        5047           1          7
        5047           2        187
        5047           3        398
        5047           4        169
        5047           5        228
        5047           6        295
        5047           7        605
        5048           2         14
        5048           3         16
        5049           3         16
        5049           4        131
        5049           6         18
        5049           7         31
        5050           1         83
        5050           2        332
        5050           3        126
        5050           4        404
        5050           5        228
        5050           6         92
        5050           7        348
        5051           1        204
        5051           2        147
        5051           3         70
        5051           4        183
        5051           5         95
        5051           6        633
        5051           7        298
        5052           2         67
        5052           3         35
        5052           4        104
        5052           5         73
        5052           6         66
        5052           7        150
        5053           2        147
        5053           3        155
        5053           4        298
        5053           5        190
        5053           6        364
        5053           7        459
        5054           1         35
        5054           5         28
        5054           6         64
        5054           7         31
        5055           2         16
        5055           4         43
        5056           2        154
        5056           3        103
        5056           4        111
        5056           5        147
        5056           6        194
        5056           7        197
        5057           1        144
        5057           2        417
        5057           3        256
        5057           4        283
        5057           5        105
        5057           7        225
        5058           1         20
        5058           2        395
        5058           3        243
        5058           4        235
        5058           5        193
        5058           6         56
        5058           7        266
        5059           1         24
        5059           2        102
        5059           3        289
        5059           4        541
        5059           5        175
        5059           6        281
        5059           7        733
        5060           2        172
        5060           3        126
        5060           4        134
        5060           6        235
        5060           7        165
        5061           2        162
        5061           3        244
        5061           4        247
        5061           5         95
        5061           6        139
        5061           7        280
        5063           1         47
        5063           3        134
        5063           4        312
        5063           5         94
        5063           6         97
        5063           7        382
        5065           2         42
        5065           3        173
        5065           4        160
        5065           5        103
        5065           6        522
        5065           7        229
        5066           1         29
        5066           2        239
        5066           3        331
        5066           4        368
        5066           5        310
        5066           6        254
        5066           7        448
        5067           2         55
        5067           4        259
        5067           5        114
        5067           6        264
        5067           7         88
        5068           1         79
        5068           2        426
        5068           3        269
        5068           4        347
        5068           5        244
        5068           6        371
        5068           7        245
        5069           1         18
        5069           2        525
        5069           3        217
        5069           4        285
        5069           5         75
        5069           6         46
        5069           7        378
        5071           1         15
        5071           2         26
        5071           3        203
        5071           4        141
        5071           5        142
        5071           6        109
        5071           7        256
        5072           3         84
        5072           4         68
        5072           5         10
        5072           6         61
        5072           7        103
        5073           2         63
        5073           3        108
        5073           4        584
        5073           5        247
        5073           6        320
        5073           7        688
        5074           1         49
        5074           2        248
        5074           3        192
        5074           4        366
        5074           5        192
        5074           7        346
        5075           2        117
        5075           3        249
        5075           4        306
        5075           5        104
        5075           6        113
        5075           7        144
        5076           2         25
        5076           3         96
        5076           4        380
        5076           5        115
        5076           6         80
        5076           7        154
        5077           2         14
        5077           4         19
        5077           5         14
        5077           6         58
        5077           7         52
        5078           3         29
        5078           4         53
        5078           5        102
        5078           6        186
        5078           7        201
        5079           2        147
        5079           3         44
        5079           4        108
        5079           5        158
        5079           7        120
        5080           3         81
        5080           4         92
        5080           6         34
        5080           7        108
        5081           2         43
        5081           3         64
        5081           4         76
        5081           5         52
        5081           6         71
        5081           7        182
